filing_date,transaction_date,insider_name,title,code,shares,price,value,shares_after,accession
2026-03-24,2026-03-22,Tien Bor-Zen,VP,P,1000.0,55.93,55930.0,9051.0,0001046179-26-000122
2026-03-30,2026-03-29,Lin Shyue-Shyh,VP,P,2000.0,55.63,111260.0,23269.0,0001046179-26-000128
2026-03-31,2026-03-22,Yeap Choh Fei,SVP,P,1000.0,55.78,55780.0,213375.0,0002113762-26-000002
2026-03-31,2026-03-30,Lin Shyue-Shyh,VP,P,3000.0,54.72,164160.0,26269.0,0002114025-26-000002
2026-04-01,2026-03-31,BURNS URSULA M,董事,P,1000.0,322.05,322050.0,3000.0,0001046179-26-000132
2026-04-13,2026-04-09,Yoo Chue-San,VP,P,65.0,57.87,3761.5499999999997,6431.0,0001046179-26-000197
2026-04-13,2026-04-09,Yuan Lipen,VP,P,52.0,57.87,3009.24,1092.0,0001046179-26-000196
2026-04-13,2026-04-09,Zhang Kevin Xiaoqiang,SVP and Deputy Co-COO,P,79.0,57.87,4571.73,7034.0,0001046179-26-000195
2026-04-13,2026-04-09,Tien Bor-Zen,VP,P,53.0,57.87,3067.1099999999997,101.0,0001046179-26-000191
2026-04-13,2026-04-09,Tien Bor-Zen,VP,P,9.0,57.87,520.8299999999999,53.0,0001046179-26-000191
2026-04-13,2026-04-09,Wang Ying-Lang,SVP,P,69.0,57.87,3993.0299999999997,6224.0,0001046179-26-000190
2026-04-13,2026-04-09,Yeap Choh Fei,SVP,P,68.0,57.87,3935.16,6269.0,0001046179-26-000189
2026-04-13,2026-04-09,Wu Shien-Yang,SVP,P,71.0,57.87,4108.7699999999995,6577.0,0001046179-26-000188
2026-04-13,2026-04-09,Wei Che-Chia,Chairman and CEO,P,186.0,57.87,10763.82,17379.0,0001046179-26-000187
2026-04-13,2026-04-09,Liaw Yung-Haw,VP,P,61.0,57.87,3530.0699999999997,6092.0,0001046179-26-000181
2026-04-13,2026-04-09,Lu Lee-Chung,VP,P,65.0,57.87,3761.5499999999997,6227.0,0001046179-26-000180
2026-04-13,2026-04-09,Mii Yuh-Jier,EVP and Co-COO,P,88.0,57.87,5092.5599999999995,7812.0,0001046179-26-000179
2026-04-13,2026-04-09,Lin Shyue-Shyh,VP,P,58.0,57.87,3356.46,111.0,0001046179-26-000178
2026-04-13,2026-04-09,Lin Chris Horng-Dar,VP and CIO,P,60.0,57.87,3472.2,5739.0,0001046179-26-000177
2026-04-13,2026-04-09,Hsu Kuo-Chin,VP,P,66.0,57.87,3819.4199999999996,6459.0,0001046179-26-000171
2026-04-13,2026-04-09,Huang Jen-Chau,SVP and CFO,P,37.0,57.87,2141.19,3436.0,0001046179-26-000170
2026-04-13,2026-04-09,Hwang Yuan-Ko,VP,P,51.0,57.87,2951.37,97.0,0001046179-26-000169
